wavelength	depth	depth_err
7.140017e-01	2.136769e-02	0.000000e+00
7.154297e-01	2.138415e-02	0.000000e+00
7.168605e-01	2.146100e-02	0.000000e+00
7.182943e-01	2.142855e-02	0.000000e+00
7.191423e-01	2.115515e-02	6.280438e-05
7.197309e-01	2.141151e-02	0.000000e+00
7.211703e-01	2.140620e-02	0.000000e+00
7.226127e-01	2.139337e-02	0.000000e+00
7.240579e-01	2.140502e-02	0.000000e+00
7.255060e-01	2.139605e-02	0.000000e+00
7.261967e-01	2.121751e-02	6.656042e-05
7.269570e-01	2.139696e-02	0.000000e+00
7.284109e-01	2.138430e-02	0.000000e+00
7.298677e-01	2.140269e-02	0.000000e+00
7.313275e-01	2.140551e-02	0.000000e+00
7.327901e-01	2.138694e-02	0.000000e+00
7.342557e-01	2.137806e-02	0.000000e+00
7.357242e-01	2.138886e-02	0.000000e+00
7.371957e-01	2.138733e-02	0.000000e+00
7.380000e-01	2.108778e-02	1.735000e-04
7.386701e-01	2.137943e-02	0.000000e+00
7.401474e-01	2.137761e-02	0.000000e+00
7.408594e-01	2.103036e-02	1.174582e-04
7.416277e-01	2.137091e-02	0.000000e+00
7.431110e-01	2.136750e-02	0.000000e+00
7.445972e-01	2.136662e-02	0.000000e+00
7.460864e-01	2.136521e-02	0.000000e+00
7.475785e-01	2.135868e-02	0.000000e+00
7.490737e-01	2.135577e-02	0.000000e+00
7.505719e-01	2.135646e-02	0.000000e+00
7.520730e-01	2.135377e-02	0.000000e+00
7.535771e-01	2.135181e-02	0.000000e+00
7.550843e-01	2.135179e-02	0.000000e+00
7.565945e-01	2.135074e-02	0.000000e+00
7.581077e-01	2.134903e-02	0.000000e+00
7.596239e-01	2.135068e-02	0.000000e+00
7.611431e-01	2.135028e-02	0.000000e+00
7.626654e-01	2.135476e-02	0.000000e+00
7.641907e-01	2.137072e-02	0.000000e+00
7.643032e-01	2.115130e-02	9.394561e-05
7.657191e-01	2.141312e-02	0.000000e+00
7.672506e-01	2.148267e-02	0.000000e+00
7.684000e-01	2.200690e-02	3.501000e-04
7.687851e-01	2.139340e-02	0.000000e+00
7.703226e-01	2.145776e-02	0.000000e+00
7.718633e-01	2.137165e-02	0.000000e+00
7.734070e-01	2.135434e-02	0.000000e+00
7.749538e-01	2.134656e-02	0.000000e+00
7.765037e-01	2.134108e-02	0.000000e+00
7.780567e-01	2.133624e-02	0.000000e+00
7.796128e-01	2.133429e-02	0.000000e+00
7.811721e-01	2.133165e-02	0.000000e+00
7.827344e-01	2.132958e-02	0.000000e+00
7.842999e-01	2.133151e-02	0.000000e+00
7.858685e-01	2.132942e-02	0.000000e+00
7.874402e-01	2.132965e-02	0.000000e+00
7.890151e-01	2.132760e-02	0.000000e+00
7.896496e-01	2.114515e-02	7.818591e-05
7.905000e-01	2.172358e-02	2.224300e-04
7.905931e-01	2.132269e-02	0.000000e+00
7.921743e-01	2.131654e-02	0.000000e+00
7.937587e-01	2.131585e-02	0.000000e+00
7.953462e-01	2.131400e-02	0.000000e+00
7.969369e-01	2.132478e-02	0.000000e+00
7.985307e-01	2.132297e-02	0.000000e+00
8.001278e-01	2.132165e-02	0.000000e+00
8.017281e-01	2.131719e-02	0.000000e+00
8.033315e-01	2.132014e-02	0.000000e+00
8.049382e-01	2.132059e-02	0.000000e+00
8.065481e-01	2.133108e-02	0.000000e+00
8.081612e-01	2.133938e-02	0.000000e+00
8.097775e-01	2.137167e-02	0.000000e+00
8.113970e-01	2.137070e-02	0.000000e+00
8.130198e-01	2.138496e-02	0.000000e+00
8.146459e-01	2.137963e-02	0.000000e+00
8.162752e-01	2.137271e-02	0.000000e+00
8.170906e-01	2.114598e-02	8.481503e-05
8.179077e-01	2.135469e-02	0.000000e+00
8.195435e-01	2.134959e-02	0.000000e+00
8.211826e-01	2.134639e-02	0.000000e+00
8.225000e-01	2.106878e-02	3.136500e-04
8.228250e-01	2.138572e-02	0.000000e+00
8.244706e-01	2.136164e-02	0.000000e+00
8.261196e-01	2.133221e-02	0.000000e+00
8.277718e-01	2.133896e-02	0.000000e+00
8.294273e-01	2.136168e-02	0.000000e+00
8.300000e-01	2.143115e-02	4.746600e-04
8.310862e-01	2.134464e-02	0.000000e+00
8.327484e-01	2.133670e-02	0.000000e+00
8.344139e-01	2.134709e-02	0.000000e+00
8.360827e-01	2.134754e-02	0.000000e+00
8.377549e-01	2.133319e-02	0.000000e+00
8.394304e-01	2.133550e-02	0.000000e+00
8.411092e-01	2.132443e-02	0.000000e+00
8.427915e-01	2.132215e-02	0.000000e+00
8.444770e-01	2.131903e-02	0.000000e+00
8.447635e-01	2.130299e-02	2.986659e-04
8.461660e-01	2.131147e-02	0.000000e+00
8.468056e-01	2.095579e-02	1.026693e-04
8.478583e-01	2.131185e-02	0.000000e+00
8.495540e-01	2.130435e-02	0.000000e+00
8.512531e-01	2.129405e-02	0.000000e+00
8.529557e-01	2.128949e-02	0.000000e+00
8.546616e-01	2.129233e-02	0.000000e+00
8.563709e-01	2.128124e-02	0.000000e+00
8.569859e-01	2.147227e-02	1.122017e-04
8.580836e-01	2.127728e-02	0.000000e+00
8.592000e-01	2.120612e-02	1.917900e-04
8.597998e-01	2.127303e-02	0.000000e+00
8.615194e-01	2.127141e-02	0.000000e+00
8.632424e-01	2.127073e-02	0.000000e+00
8.649689e-01	2.126397e-02	0.000000e+00
8.666989e-01	2.125742e-02	0.000000e+00
8.678024e-01	2.150202e-02	1.072880e-04
8.684323e-01	2.126187e-02	0.000000e+00
8.701691e-01	2.125727e-02	0.000000e+00
8.719095e-01	2.125552e-02	0.000000e+00
8.736533e-01	2.125463e-02	0.000000e+00
8.750000e-01	2.134388e-02	3.748700e-04
8.754006e-01	2.125096e-02	0.000000e+00
8.771514e-01	2.124622e-02	0.000000e+00
8.781525e-01	2.139500e-02	1.081986e-04
8.789057e-01	2.124801e-02	0.000000e+00
8.789909e-01	2.092926e-02	5.779341e-05
8.806635e-01	2.124305e-02	0.000000e+00
8.824248e-01	2.124254e-02	0.000000e+00
8.841897e-01	2.123934e-02	0.000000e+00
8.859581e-01	2.124241e-02	0.000000e+00
8.877300e-01	2.125010e-02	0.000000e+00
8.885062e-01	2.158771e-02	1.006691e-04
8.895054e-01	2.126109e-02	0.000000e+00
8.912844e-01	2.130676e-02	0.000000e+00
8.930670e-01	2.135458e-02	0.000000e+00
8.948531e-01	2.133147e-02	0.000000e+00
8.966429e-01	2.133466e-02	0.000000e+00
8.983927e-01	2.184030e-02	1.972881e-04
8.984361e-01	2.134414e-02	0.000000e+00
9.002330e-01	2.134059e-02	0.000000e+00
9.020335e-01	2.131226e-02	0.000000e+00
9.038375e-01	2.129373e-02	0.000000e+00
9.056452e-01	2.129786e-02	0.000000e+00
9.074565e-01	2.129882e-02	0.000000e+00
9.078117e-01	2.156014e-02	9.752801e-05
9.082000e-01	2.137078e-02	1.426200e-04
9.092714e-01	2.131450e-02	0.000000e+00
9.110900e-01	2.131951e-02	0.000000e+00
9.129121e-01	2.136338e-02	0.000000e+00
9.138342e-01	2.105122e-02	5.520204e-05
9.147380e-01	2.136626e-02	0.000000e+00
9.165674e-01	2.137999e-02	0.000000e+00
9.172338e-01	2.155632e-02	9.488121e-05
9.184006e-01	2.136359e-02	0.000000e+00
9.202374e-01	2.136338e-02	0.000000e+00
9.220779e-01	2.133580e-02	0.000000e+00
9.239220e-01	2.137750e-02	0.000000e+00
9.257699e-01	2.139871e-02	0.000000e+00
9.266590e-01	2.174757e-02	1.000939e-04
9.276214e-01	2.155718e-02	0.000000e+00
9.294766e-01	2.159373e-02	0.000000e+00
9.313356e-01	2.155322e-02	0.000000e+00
9.331983e-01	2.157993e-02	0.000000e+00
9.350647e-01	2.155468e-02	0.000000e+00
9.360874e-01	2.155770e-02	9.404219e-05
9.369348e-01	2.155998e-02	0.000000e+00
9.388087e-01	2.154582e-02	0.000000e+00
9.406863e-01	2.151512e-02	0.000000e+00
9.425676e-01	2.151728e-02	0.000000e+00
9.444528e-01	2.148110e-02	0.000000e+00
9.450472e-01	2.138677e-02	3.232142e-04
9.463417e-01	2.150826e-02	0.000000e+00
9.482344e-01	2.151286e-02	0.000000e+00
9.501308e-01	2.152080e-02	0.000000e+00
9.514905e-01	2.132956e-02	1.135978e-04
9.520311e-01	2.150735e-02	0.000000e+00
9.535382e-01	2.149285e-02	1.023689e-04
9.539352e-01	2.148489e-02	0.000000e+00
9.558430e-01	2.150983e-02	0.000000e+00
9.572000e-01	2.154431e-02	1.495500e-04
9.577547e-01	2.151755e-02	0.000000e+00
9.596702e-01	2.152678e-02	0.000000e+00
9.615896e-01	2.150960e-02	0.000000e+00
9.620318e-01	2.155519e-02	9.506186e-05
9.635127e-01	2.151857e-02	0.000000e+00
9.654398e-01	2.146599e-02	0.000000e+00
9.673707e-01	2.148314e-02	0.000000e+00
9.693054e-01	2.146761e-02	0.000000e+00
9.705279e-01	2.140724e-02	9.569711e-05
9.712440e-01	2.143181e-02	0.000000e+00
9.731865e-01	2.147992e-02	0.000000e+00
9.751329e-01	2.143955e-02	0.000000e+00
9.770831e-01	2.142739e-02	0.000000e+00
9.790267e-01	2.100756e-02	1.423870e-04
9.790373e-01	2.144190e-02	0.000000e+00
9.809954e-01	2.143169e-02	0.000000e+00
9.829574e-01	2.143947e-02	0.000000e+00
9.849233e-01	2.141965e-02	0.000000e+00
9.868931e-01	2.139525e-02	0.000000e+00
9.875281e-01	2.107284e-02	1.069145e-04
9.888669e-01	2.138886e-02	0.000000e+00
9.908446e-01	2.138405e-02	0.000000e+00
9.920743e-01	2.101123e-02	4.923276e-05
9.928263e-01	2.138469e-02	0.000000e+00
9.948120e-01	2.136796e-02	0.000000e+00
9.955596e-01	2.135913e-02	9.077031e-05
9.968016e-01	2.136031e-02	0.000000e+00
9.987952e-01	2.134901e-02	0.000000e+00
1.000793e+00	2.133801e-02	0.000000e+00
1.002794e+00	2.134552e-02	0.000000e+00
1.003121e+00	2.142766e-02	1.021163e-04
1.004800e+00	2.131769e-02	0.000000e+00
1.006200e+00	2.137830e-02	1.309700e-04
1.006810e+00	2.130915e-02	0.000000e+00
1.008823e+00	2.131115e-02	0.000000e+00
1.010684e+00	2.137090e-02	9.319076e-05
1.010841e+00	2.129461e-02	0.000000e+00
1.012863e+00	2.128495e-02	0.000000e+00
1.014888e+00	2.128739e-02	0.000000e+00
1.016918e+00	2.127451e-02	0.000000e+00
1.018250e+00	2.129596e-02	8.820538e-05
1.018952e+00	2.126755e-02	0.000000e+00
1.020990e+00	2.126679e-02	0.000000e+00
1.023032e+00	2.126106e-02	0.000000e+00
1.025078e+00	2.125020e-02	0.000000e+00
1.025817e+00	2.126937e-02	2.799549e-04
1.027128e+00	2.125284e-02	0.000000e+00
1.029182e+00	2.124388e-02	0.000000e+00
1.031241e+00	2.124056e-02	0.000000e+00
1.033303e+00	2.123427e-02	0.000000e+00
1.033387e+00	2.142069e-02	9.265471e-05
1.035370e+00	2.123274e-02	0.000000e+00
1.035644e+00	2.105753e-02	9.062336e-05
1.037440e+00	2.122006e-02	0.000000e+00
1.039515e+00	2.122344e-02	0.000000e+00
1.040959e+00	2.121049e-02	8.827977e-05
1.041594e+00	2.121861e-02	0.000000e+00
1.043678e+00	2.122086e-02	0.000000e+00
1.045765e+00	2.122267e-02	0.000000e+00
